Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
8,366,411,0,45,1.0,0.8905109489051095,Not Final
4,705,887,0,171,1.064327485380117,0.7948139797068771,Not Final
2,1232,1749,0,446,1.1771300448430493,0.7044025157232704,Not Final
1,1991,3506,0,1108,1.4169675090252707,0.5678836280661723,Not Final
2/3,2565,5392,0,1845,1.7018970189701896,0.4757047477744807,Not Final
1/1,3006,7105,0,2410,2.0066390041493776,0.423082336382829,Not Final
2/5,2962,8311,0,3043,2.2632270785409134,0.3563951389724462,Not Final
2/6,2148,9395,0,5081,2.670143672505412,0.22863225119744546,Not Final
2/7,1984,10718,0,6197,3.276585444569953,0.18510916215711887,Not Final
8,390,446,357,55,1.018181818181818,0.874439461883408,Final
4,546,760,543,204,1.0637254901960784,0.718421052631579,Final
2,594,1012,590,365,1.2356164383561643,0.5869565217391305,Final
1,644,1304,640,563,1.241563055062167,0.4938650306748466,Final
2/3,602,1319,598,562,1.5338078291814947,0.4564063684609553,Final
1/2,606,1408,602,588,1.8639455782312926,0.4303977272727273,Final
2/5,681,1631,674,693,1.7373737373737375,0.4175352544451257,Final
2/6,758,1809,744,785,1.6611464968152867,0.41901603095632944,Final
2/7,723,1804,715,749,2.0921228304405877,0.4007760532150776,Final
2/8,792,2039,772,817,2.598531211750306,0.3884256988719961,Final
