Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,1184,1671,0,426,1.1525821596244132,0.708557749850389,Not Final
2,978,1681,0,509,1.4341846758349706,0.5817965496728138,Not Final
3,871,1742,0,568,1.6672535211267605,0.5,Not Final
4,771,1780,0,616,1.922077922077922,0.43314606741573036,Not Final
5,700,1837,0,624,2.2115384615384617,0.38105606967882416,Not Final
6,624,1756,0,600,2.533333333333333,0.3553530751708428,Not Final
7,580,1754,0,628,2.536624203821656,0.330672748004561,Not Final
8,560,1752,0,623,2.943820224719101,0.319634703196347,Not Final
9,522,1759,0,613,2.8841761827079937,0.2967595224559409,Not Final
10,487,1758,0,651,3.4439324116743473,0.2770193401592719,Not Final
1,563,952,559,338,1.2840236686390532,0.5913865546218487,Final
2,536,1105,531,436,1.5642201834862386,0.4850678733031674,Final
3,473,1215,469,520,1.8807692307692307,0.3893004115226337,Final
4,428,1094,424,430,2.0511627906976746,0.3912248628884826,Final
5,372,1074,365,443,2.4650112866817158,0.3463687150837989,Final
6,359,1069,353,440,2.65,0.33582787652011226,Final
7,310,1053,304,447,2.8993288590604025,0.2943969610636277,Final
8,326,1168,320,470,3.1617021276595745,0.2791095890410959,Final
9,303,1180,298,478,3.592050209205021,0.25677966101694916,Final
10,324,1187,318,481,3.1101871101871104,0.2729570345408593,Final
