Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
0,1646,1746,0,100,1.0,0.9427262313860252,Not Final
5,239,307,0,14,8.857142857142858,0.7785016286644951,Not Final
10,188,228,0,15,3.466666666666667,0.8245614035087719,Not Final
15,174,188,0,6,3.6666666666666665,0.925531914893617,Not Final
20,138,170,0,11,4.454545454545454,0.8117647058823529,Not Final
25,160,169,0,3,3.0,0.9467455621301775,Not Final
30,125,148,0,13,4.0,0.8445945945945946,Not Final
35,124,136,0,5,2.4,0.9117647058823529,Not Final
40,108,127,0,9,2.7777777777777777,0.8503937007874016,Not Final
45,104,107,0,3,1.0,0.9719626168224299,Not Final
50,84,84,0,0,0,1.0,Not Final
0,616,1039,612,269,14.144981412639405,0.5928777670837344,Final
5,188,200,0,3,5.666666666666667,0.94,Final
10,199,238,0,6,10.833333333333334,0.8361344537815126,Final
15,176,178,0,1,2.0,0.9887640449438202,Final
20,153,163,0,6,2.5,0.9386503067484663,Final
25,135,147,0,7,1.7142857142857142,0.9183673469387755,Final
30,139,168,0,14,2.2857142857142856,0.8273809523809523,Final
35,101,115,0,8,2.625,0.8782608695652174,Final
40,82,93,0,5,2.2,0.8817204301075269,Final
45,119,122,0,3,1.0,0.9754098360655737,Final
50,75,76,0,1,1.0,0.9868421052631579,Final
