Param,Best Chain,Blocks,Final Height,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
10,980,1752,0,267,3.093632958801498,0.5593607305936074,Not Final
20,885,1660,0,194,5.407216494845361,0.5331325301204819,Not Final
30,878,1713,0,157,7.898089171974522,0.5125510799766492,Not Final
40,850,1661,0,133,11.473684210526315,0.5117399157134257,Not Final
50,848,1710,0,85,33.423529411764704,0.495906432748538,Not Final
60,837,1689,0,92,25.793478260869566,0.4955595026642984,Not Final
70,806,1651,0,89,54.71910112359551,0.4881889763779528,Not Final
80,865,1701,0,108,16.99074074074074,0.5085243974132863,Not Final
90,868,1752,0,73,66.43835616438356,0.4954337899543379,Not Final
100,833,1696,0,72,130.22222222222223,0.49115566037735847,Not Final
10,693,1297,605,302,2.337748344370861,0.5343099460292984,Final
20,471,1353,450,225,48.96888888888889,0.34811529933481156,Final
30,786,1609,187,138,15.5,0.4885021752641392,Final
40,699,1503,168,212,15.976415094339623,0.46506986027944114,Final
50,603,1295,518,191,9.895287958115183,0.46563706563706564,Final
60,637,1375,545,168,22.595238095238095,0.4632727272727273,Final
70,611,1404,413,157,28.063694267515924,0.4351851851851852,Final
80,644,1392,30,162,95.4753086419753,0.46264367816091956,Final
90,739,1477,320,180,23.633333333333333,0.5003385240352065,Final
100,648,1394,464,181,34.12707182320442,0.4648493543758967,Final
