Param,Best Chain,Blocks,Final Height,Final Ratio,Final Diff,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,629,872,626,0.9952305246422893,3,205,1.4,0.7213302752293578,Final
2,779,1176,778,0.9987163029525032,1,297,2.4006734006734005,0.6624149659863946,Final
3,872,1455,868,0.9954128440366973,4,390,3.4384615384615387,0.5993127147766323,Final
4,925,1691,921,0.9956756756756757,4,469,4.106609808102346,0.5470136014192786,Final
5,969,1854,966,0.9969040247678018,3,530,4.533962264150944,0.5226537216828478,Final
6,1012,2021,1009,0.9970355731225297,3,587,4.9301533219761495,0.5007422068283028,Final
7,1058,2159,1051,0.9933837429111532,7,647,5.017001545595054,0.4900416859657249,Final
8,1091,2299,1086,0.995417048579285,5,701,5.095577746077033,0.4745541539799913,Final
9,1121,2424,1119,0.9982158786797503,2,751,5.166444740346205,0.46245874587458746,Final
10,1154,2546,1147,0.9939341421143848,7,801,5.189762796504369,0.45326001571091906,Final
11,1199,2656,1191,0.9933277731442869,8,850,5.069411764705882,0.45143072289156627,Final
12,1264,2785,1257,0.9944620253164557,7,914,4.784463894967177,0.45385996409335727,Final
13,1297,2883,1291,0.9953739398612182,6,957,4.709508881922675,0.44987859868192853,Final
14,1343,2991,1335,0.9940431868950111,8,1009,4.56788899900892,0.4490137077900368,Final
15,1411,3107,1402,0.9936215450035436,9,1059,4.400377714825307,0.45413582233665917,Final
16,1449,3195,1443,0.9958592132505176,6,1093,4.344007319304666,0.4535211267605634,Final
17,1494,3284,1484,0.9933065595716198,10,1125,4.296888888888889,0.45493300852618757,Final
18,1543,3375,1532,0.9928710304601426,11,1165,4.183690987124463,0.4571851851851852,Final
19,1583,3440,1574,0.9943145925457991,9,1194,4.106365159128978,0.46017441860465114,Final
20,1623,3516,1613,0.9938385705483672,10,1228,4.020358306188925,0.4616040955631399,Final
21,1654,3570,1647,0.9957678355501813,7,1251,3.964828137490008,0.46330532212885156,Final
22,1695,3647,1689,0.9964601769911504,6,1284,3.8886292834890965,0.46476556073485054,Final
