Param,Best Chain,Blocks,Final Height,Final Ratio,Final Diff,Branches,Avg Branch Length,Ratio of Blocks in Best Chain,Is Final
1,1003,1202,580,0.5782652043868395,423,201,1.0,0.8344425956738769,Final
2,1340,1619,1106,0.8253731343283582,234,280,1.0,0.8276714021000617,Final
3,1488,1794,1330,0.8938172043010753,158,306,1.0,0.8294314381270903,Final
4,1550,1867,1476,0.952258064516129,74,317,1.0,0.8302088912694162,Final
5,1603,1926,1528,0.9532127261384903,75,323,1.0,0.832294911734164,Final
6,1652,1977,1528,0.9249394673123487,124,325,1.0,0.8356095093576126,Final
7,1699,2035,1598,0.9405532666274279,101,336,1.0,0.8348894348894349,Final
8,1743,2080,1598,0.9168100975329891,145,337,1.0,0.8379807692307693,Final
9,1794,2136,1668,0.9297658862876255,126,342,1.0,0.8398876404494382,Final
10,1878,2221,1668,0.8881789137380192,210,343,1.0,0.8455650607834309,Final
11,1909,2263,1785,0.9350445259298061,124,354,1.0,0.8435704816615113,Final
12,1942,2305,1888,0.972193614830072,54,363,1.0,0.8425162689804773,Final
13,1963,2326,1888,0.9617931737137035,75,363,1.0,0.8439380911435942,Final
14,2004,2370,1924,0.9600798403193613,80,366,1.0,0.8455696202531645,Final
15,2067,2447,1980,0.9579100145137881,87,380,1.0,0.8447078054760931,Final
16,2156,2537,1980,0.9183673469387755,176,382,1.0,0.8498226251478124,Final
17,2198,2588,2030,0.9235668789808917,168,390,1.0,0.8493044822256569,Final
18,2234,2624,2030,0.9086839749328559,204,390,1.0,0.8513719512195121,Final
19,2268,2663,2174,0.9585537918871252,94,395,1.0,0.8516710476905746,Final
20,2302,2701,2236,0.9713292788879235,66,399,1.0,0.8522769344687153,Final
21,2346,2748,2285,0.973998294970162,61,402,1.0,0.8537117903930131,Final
22,2396,2798,2337,0.9753756260434057,59,403,1.0,0.856325947105075,Final
